gene,frequency
RAB31,5
ATP2A3,5
DUSP5,4
IDUA,4
EPB41L2,4
PTPN22,4
LGALS3,4
SMARCB1,4
AHR,3
IGHM,3
FN1,3
CD99,3
IFITM1,3
GLUL,3
TIMP2,3
ITIH5,3
EHD1,3
NDUFS7,3
USP10,3
DENND5A,3
MEAK7,3
RPS17,3
PFKP,3
ISG15,3
DPYSL2,3
CYAT1,3
RAD50,3
NDUFB6,3
MT1HL1,3
ZNF43,3
H2AC19,3
DICER1,3
DCN,3
RORA,3
EXTL2,3
BMP5,3
PSMD8,3
H1-10,3
SORBS1,3
ABCF2,3
TMEM147-AS1,3
HIVEP1,3
TOMM20,2
DECR1,2
MROH7,2
C1QA,2
MNDA,2
MECR,2
FAS,2
ABHD8,2
TUBGCP3,2
C1QB,2
NAGK,2
CRTAP,2
TIMM13,2
CXCL12,2
PPAN,2
SDC3,2
ADM,2
NLRP2,2
CEBPA,2
RPA3,2
AASDHPPT,2
SDC1,2
CKAP2,2
IGLC1,2
PGAP2,2
URM1,2
TGFBR3,2
LY9,2
CD6,2
IGHA1,2
CRIPT,2
HDAC7,2
IGLV6-57,2
RNASE4,2
RRAS2,2
UXS1,2
HIGD1A,2
DSP,2
PIGP,2
DKK1,2
VPREB1,2
STAB1,2
IFFO1,2
GNG12,2
RRAS,2
OSBPL3,2
ATP6V1G1,2
COL9A2,2
PLAGL1,2
HYAL2,2
ADAT1,2
IFI6,2
TM7SF2,2
RNF44,2
POLR2I,2
NAXD,2
PLA2G2D,2
GHITM,2
MAFB,2
GPI,2
ALDOA,2
DHDDS,2
HLA-DMA,1
RBMS1,1
ITGA5,1
HSPBP1,1
AXL,1
APOC1,1
AGO4,1
WDR18,1
ENDOG,1
TOR1A,1
BYSL,1
RIOX2,1
FUT7,1
PDCD1LG2,1
SLC22A17,1
NRIP3,1
DPP3,1
ANG,1
FXYD6,1
CCT5,1
COBLL1,1
DRC9,1
ITGB2,1
TMEM106C,1
CD320,1
MYO7A,1
TRIO,1
NEB,1
TSSC4,1
IL10RA,1
H1-2,1
USP27X,1
GPAA1,1
PTGIS,1
LUM,1
MRPL4,1
HOMER1,1
FSHR,1
CLDN3,1
A2M,1
CD36,1
PRMT5,1
RNASE6,1
TGFBI,1
PBK,1
BOP1,1
CD163,1
H2BC9,1
DGAT1,1
CLPP,1
GPRC5D,1
MRPL46,1
COL9A3,1
TBXT,1
UBE2S,1
POLD2,1
TP53TG1,1
BCAT2,1
AEN,1
KAT2A,1
CD48,1
PTPN1,1
ZNF729,1
ADIRF,1
LBH,1
TYROBP,1
ST3GAL6,1
ALG3,1
RPL29,1
SSNA1,1
PXDC1,1
EXOSC5,1
IFRD2,1
CKS2,1
GPA33,1
CCNB1IP1,1
TUBA1A,1
NUP155,1
LCP1,1
MAPKAPK2,1
SLC7A8,1
MDN1,1
ADORA2B,1
SLC5A6,1
MS4A6A,1
FCGR3A,1
HLA-DRA,1
DPEP2,1
BCKDHB,1
CXCL2,1
PPP1R14B,1
CXCL3,1
FCAR,1
TRMT1,1
ECM2,1
PRC1,1
AKAP12,1
RNASE1,1
CLEC7A,1
H2AC6,1
EPB41L3,1
CD27,1
DEFB4B,1
SMPDL3A,1
IL4R,1
CDC42BPA,1
CXCL8,1
SH3TC1,1
PGK1,1
CNKSR1,1
TBC1D16,1
RFTN1,1
CCT7,1
POLRMT,1
GSDME,1
IGLJ3,1
C3AR1,1
MYL6B,1
ELAVL1,1
FRMD4B,1
ATRAID,1
SGPP1,1
TFEC,1
TAF10,1
DCTN3,1
GPN3,1
IGHA2,1
CDIPT,1
LSM7,1
SLC1A4,1
TOR1B,1
EID1,1
MRPL3,1
SNORA64,1
COPS5,1
EIF3E,1
HLA-DQB1,1
ABHD17A,1
FGL2,1
PSMA4,1
EI24,1
MDH2,1
MBNL2,1
DNAJC1,1
TTC19,1
NDUFV1,1
HIF1A,1
DOLK,1
HSPE1,1
UQCRC1,1
DPM2,1
HNRNPK,1
FPGS,1
ALG8,1
UBE2E3,1
CERS2,1
CYC1,1
HAGH,1
SUCLG1,1
GRB2,1
ABCA8,1
RASL12,1
NOL8,1
ARHGAP4,1
GANAB,1
CD81,1
CTSW,1
F13A1,1
FCER1G,1
TBC1D8,1
MRC1,1
CRYBG1,1
ARHGEF40,1
SHMT1,1
ENTPD1,1
ASPSCR1,1
RHBDF1,1
CD84,1
ENTPD3,1
LIMA1,1
COTL1,1
LYVE1,1
CEBPD,1
LOC101929540,1
MT4,1
IGF2,1
ECI1,1
ARMC6,1
IGF2BP3,1
TUFM,1
DRAP1,1
TMEM131L,1
CFAP298,1
SIGMAR1,1
UBAP2,1
NDUFA4,1
SNRPE,1
BDH1,1
REPIN1,1
FBL,1
FIBP,1
NDUFB1,1
CD53,1
APTX,1
CPOX,1
SND1,1
SSBP1,1
VAMP7,1
MTCH2,1
C19orf53,1
PSMB4,1
UQCR11,1
UBL5,1
BCL6,1
